"Date","CountYear","LowTemp.F","HighTemp.F","AMCloud","PMClouds","AMRain","PMRain","AMSnow","PMSnow","participants","total_hrs","calendar_year","Accipiter cooperii","Accipiter sp.","Accipiter striatus","Aegolius acadicus","Agelaius phoeniceus","Aix sponsa","Ammodramus henslowii","Anas acuta","Anas americana","Anas clypeata","Anas crecca carolinensis","Anas penelope","Anas platyrhynchos","Anas rubripes","Anas strepera","Anser albifrons","Anthus rubescens","Ardea alba","Ardea herodias ","Asio flammeus","Asio otus","Aythya affinis","Aythya americana","Aythya collaris","Aythya marila","Aythya valisineria","Baeolophus bicolor","Bombycilla cedrorum","Branta canadensis","Branta hutchinsii","Bubo virginianus","Bucephala albeola","Bucephala clangula","Buteo jamaicensis","Buteo lagopus","Buteo lineatus","Calcarius lapponicus","Cardinalis cardinalis","Cathartes aura","Catharus guttatus","Certhia americana","Charadrius vociferus","Chen caerulescens","Chroicocephalus philadelphia","Circus cyaneus","Coccothraustes vespertinus","Colaptes auratus auratus/luteus","Colinus virginianus","Columba livia (Feral Pigeon)","Coragyps atratus","Corvus brachyrhynchos","Corvus corax","Corvus ossifragus","Corvus sp. (crow sp.)","Cyanocitta cristata","Cygnus buccinator","Cygnus columbianus","Cygnus olor","Dryocopus pileatus","Dumetella carolinensis","Eremophila alpestris","Euphagus carolinus","Falco columbarius","Falco sparverius","Fulica americana","Gallinago delicata","Gallinago delicata/gallinago","Gavia immer","Geothlypis trichas","Grus canadensis","Haemorhous mexicanus","Haemorhous purpureus","Haliaeetus leucocephalus","Icteridae sp.","Junco hyemalis hyemalis/carolinensis","Lanius ludovicianus","Larinae sp.","Larus argentatus","Larus delawarensis","Larus fuscus","Larus hyperboreus","Larus marinus","Larus thayeri","Leucophaeus atricilla","Lophodytes cucullatus","Megaceryle alcyon","Megascops asio","Melanerpes carolinus","Melanerpes erythrocephalus","Meleagris gallopavo","Melospiza georgiana","Melospiza lincolnii","Melospiza melodia","Mergus merganser","Mergus serrator","Mimus polyglottos","Molothrus ater","Myadestes townsendi","Oxyura jamaicensis","Passer domesticus","Passerculus sandwichensis","Passerella iliaca","Phalacrocorax auritus","Phalacrocorax carbo","Phasianus colchicus","Picoides pubescens","Picoides villosus","Pipilo erythrophthalmus","Plectrophenax nivalis","Podiceps auritus","Podilymbus podiceps","Poecile carolinensis","Quiscalus quiscula","Regulus calendula","Regulus satrapa","Sayornis phoebe","Scolopax minor","Setophaga coronata coronata","Setophaga palmarum","Setophaga pinus","Sialia sialis","Sitta canadensis","Sitta carolinensis","Sphyrapicus varius","Spinus pinus","Spinus tristis","Spizella passerina","Spizella pusilla","Spizelloides arborea","Strix varia","Sturnella magna","Sturnus vulgaris","Thryothorus ludovicianus","Toxostoma rufum","Troglodytes aedon","Troglodytes hiemalis","Troglodytes pacificus/hiemalis","Turdus migratorius","Tyto alba","Zenaida macroura","Zonotrichia albicollis","Zonotrichia leucophrys"
1999-12-21,"100",25,42,"Cloudy","Cloudy","None","None","None","None",NA,121.5,"1999","5","","5","","20015","6","","3","107","15","51","","299","164","161","","1","","16","1","","22","3","946","","3","192","245","4651","","1","228","11","55","","18","","385","354","26","9","87","","1","2","","137","8","129","98","894","4","16","","238","","12","14","36","","60","","","21","6","","4","","","","181","48","10","","1207","","","404","216","","","8","","","116","10","5","105","2","cw","15","","282","143","","164","3","","362","68","20","3","1","","","94","16","4","1","9","8","347","15056","1","6","4","","265","","","291","14","123","29","","382","","74","19","cw","48","7054","139","","","","2","418","","455","858","78"
2000-12-17,"101",30,51,"Cloudy","Cloudy","Heavy","Light","None","Light",NA,136.4,"2000","7","","16","","701","11","","14","97","7","41","","373","72","169","","15","","12","","","4","4","1230","","23","317","1934","9303","","6","140","","87","","28","","561","588","24","9","19","","","5","","24","16","321","372","2279","13","23","647","603","","73","5","35","1","2","11","","26","3","","8","1","","","295","10","13","","1542","1","","122","1440","","","3","","","149","16","3","156","3","1","42","","530","312","","189","96","","18","63","44","3","","","","101","21","19","","","10","528","67","40","138","11","","381","","2","456","8","99","51","1","488","19","95","9","1","106","2596","226","","","","4","794","1","534","968","134"
2001-12-16,"102",25,55,"Partly Cloudy","Partly Cloudy","Light
None","None","None","None",NA,164.25,"2001","8","1","16","1","1330","7","1","2","95","18","27","1","225","93","140","1","51","","18","","","63","1","637","","12","567","365","6381","","10","193","4","107","","55","","653","644","52","14","75","","","4","","257","","355","239","1857","13","52","446","734","","49","1","59","5","1","","1","18","","","3","","1","","491","42","7","","2057","","","184","99","cw","","9","","","120","19","30","222","10","15","25","","679","14","1","331","928","","8","95","110","15","2","","3","225","33","30","","","14","789","71074","34","126","17","2","149","","","722","11","218","100","","541","","109","18","9","40","15397","309","1","","","7","1725","3","603","1132","29"
2002-12-15,"103",32,53,"Partly Cloudy","Partly Cloudy","None","None","None","None",NA,156.5,"2002","8","","22","2","51","6","","7","65","","19","1","472","56","136","1","66","","17","","","11","2","1059","","5","358","2633","12995","","4","114","","98","","81","1","675","453","71","19","1","1","","12","","229","8","284","247","1448","7","125","163","667","","11","4","38","3","20","2","1","24","","","","cw","","","367","3","14","","1301","","","292","1137","8","","58","","","142","15","8","250","6","17","39","","437","453","cw","335","156","","60","148","22","7","2","","","179","25","16","","","8","534","97","15","79","7","1","363","","","855","","178","80","","393","","191","5","5","54","4361","259","1","","","7","4353","","568","1199","29"
2003-12-21,"104",25,50,"Clear","Clear","None","None","None","None",NA,150,"2003","9","1","11","","3251","","","45","148","2","14","1","651","113","215","","2","","25","","","15","","1295","","2","184","392","9453","","14","144","","88","","41","","775","461","25","15","10","","","18","","111","1","255","152","904","2","55","12","629","","18","5","30","1","4","5","2","18","1","5","","","","","68","46","16","","1780","","","520","601","11","","61","","","92","6","10","184","3","9","25","","481","287","","199","42","","2","166","5","3","","","","132","18","31","","","6","319","21025","35","53","1","","296","","1","213","2","132","81","","264","1","92","9","8","3","10727","117","3","","","7","774","","270","1183","77"
2004-12-19,"105",19,40,"Cloudy","Cloudy","None","None","None","None",NA,143,"2004","4","1","8","","1126","","","10","77","","10","cw","266","35","186","1","","","29","","","1","","1015","","","179","89","9055","","18","114","","99","","75","","836","295","15","11","35","","","","","148","","368","302","674","8","41","55","776","","26","1","35","","1","","1","17","1","1","","","","","106","13","16","","2406","","","303","1237","3","","30","1","","79","12","24","189","1","3","41","","660","75","","266","14","","19","111","29","6","2","","","148","22","19","","","4","337","21025","18","68","3","","60","","1","168","11","158","40","","448","","143","8","7","10","5210","239","","","","9","308","1","486","1356","374"
2005-12-18,"106",27,44,"Partly Cloudy","Partly Cloudy","None","None","None","None",9,176.75,"2005","5","","14","1","1499","1","","9","140","1","6","1","409","66","101","","21","1","21","","","19","","1131","4","13","312","979","11558","3","12","152","1","129","","118","","587","304","68","58","3","","","5","","114","","194","161","980","23","79","66","788","cw","15","1","36","5","164","58","3","29","1","","","","1","2","197","94","16","","1729","","","218","1910","1","","16","","cw","83","14","15","203","2","14","113","","1231","410","","208","769","","32","147","24","1","1","","","216","17","81","","","13","545","21025","27","204","4","","471","","","455","56","217","71","2","440","7","363","12","5","28","26255","332","4","","","11","568","1","499","1552","81"
2007-12-16,"108",31,45,"Cloudy","Cloudy","Heavy","None","None","None",12,48,"2007","2","","3","","28","7","","","64","4","","","72","36","53","","","","12","","1","4","","558","","2","99","685","6644","1","","117","1","58","1","63","","303","247","18","1","7","","","1","","51","","170","65","376","15","3","","313","2","21","","9","2","","","1","10","1","14","","2","","","22","25","15","","798","1","","5","252","1","","","","","312","8","3","72","3","cw","5","","196","234","","97","276","","149","19","","6","1","","","41","4","8","","","2","157","","22","37","","","71","","","179","10","39","16","13","84","","55","7","2","1","1312","81","2","","","","4395","","116","911",""
2008-12-14,"109",22,45,"Partly Cloudy","Partly Cloudy","None","None","None","None",35,95,"2008","6","","6","","70","11","","7","127","","49","","336","51","18","","","","18","","1","6","","529","","4","213","328","8313","1","9","132","","58","","58","","340","335","7","8","4","1","","3","","102","","106","124","554","6","45","103","310","3","11","1","13","","","","1","13","2","2","","","","","323","36","22","","1043","","","81","652","cw","","32","","","160","4","13","109","cw","cw","16","","301","2","","129","","","61","70","1","","","","","74","10","5","","","4","359","208","20","37","","1","175","","","338","1","90","26","5","258","29","99","3","4","17","5984","155","1","","","5","294","cw","136","499","17"
2010-12-19,"111",23,37,"Cloudy","Cloudy","None","None","None","None",36,118.75,"2010","12","","3","","597","","","1","65","","27","","337","101","12","","","","9","","","","1","293","","3","280","290","9250","cw","20","21","","77","","96","","439","422","28","6","5","","","5","","79","","290","228","977","11","82","52","479","5","6","1","36","","30","","2","11","","2","","","","","141","16","16","","2192","","","77","112","","","20","","","23","5","15","150","5","35","26","","375","","","133","22","1","20","97","10","cw","","","","93","17","5","","","","355","2","6","5","2","","211","","1","397","21","79","40","3","150","12","60","15","5","14","1106","79","","","3","","341","cw","341","766","110"
2011-12-18,"112",29,47,"Cloudy","Cloudy","None","None","None","None",48,101,"2011","6","","3","1","152","3","","2","91","","76","","237","149","191","","","","13","","","7","3","1154","1","1","352","377","4065","","25","105","","87","","61","","442","381","16","5","19","1","","4","","92","","191","228","913","6","109","","295","","12","2","26","2","","","1","7","12","4","","","1","","133","","16","","1685","","","224","358","1","","37","","","209","8","26","140","1","9","14","","319","21","","151","","","18","173","3","","11","1","","129","18","3","","2","18","480","","15","16","4","1","176","","1","445","","149","40","","207","","76","","4","3","4650","154","","","3","","304","","277","793","49"
2012-12-16,"113",31,35,"Partly Cloudy","Partly Cloudy","Light","None","None","None",42,145.25,"2012","6","","6","","118","7","","1","55","cw","69","","223","40","89","cw","62","","20","4","","8","","623","2","","301","95","3772","cw","20","87","cw","81","","75","","471","252","16","8","2","","","12","","149","","204","101","683","10","127","56","824","","9","2","43","","","","1","11","12","6","","1","1","","162","8","16","","1620","","","227","760","","1","85","","","133","11","14","215","6","24","42","","491","4","","153","60","","81","108","20","3","","","","138","14","32","","","17","440","3","11","37","4","","56","","","295","12","149","29","12","258","2","170","4","8","14","3591","279","1","","3","","538","","589","930","77"
2013-12-15,"114",28,43,"Partly Cloudy","Partly Cloudy","None","None","None","None",38,110.75,"2013","5","","4","","52","","","cw","51","cw","cw","","211","37","68","","6","","6","2","","","16","1233","","7","233","54","8083","","11","91","1","95","","108","","527","255","8","8","27","","","8","","111","","99","187","774","6","28","76","116","","cw","1","39","","104","","","9","1","3","","","","","57","","28","","1801","","","72","5030","","","36","","cw","153","15","20","108","","69","50","","557","44","","185","31","","18","206","4","2","","","","114","13","10","","1","14","440","cw","3","38","5","","42","","","397","","114","28","","169","2","96","","1","44","965","293","1","","3","","411","cw","286","837","23"
2014-12-14,"115",20,40,"Clear","Clear","None","None","None","None",34,93,"2014","5","1","4","","307","2","","1","32","cw","10","","341","20","42","","1","","21","1","","2","9","354","","","182","292","6810","5","5","103","1","56","","39","","269","299","23","8","4","","","5","","76","","56","298","507","13","174","43","604","","1","","29","1","","50","","12","","3","","4","","","73","21","33","","1429","","","133","1019","","","7","","","208","10","8","144","20","72","120","","641","","","149","564","","47","58","14","","1","","","87","14","42","","21","15","261","","9","11","2","cw","41","","","343","5","75","41","","207","17","148","5","1","43","8173","220","1","","8","","6900","","128","904","35"
2015-12-20,"116",18,39,"Clear","Clear","None","None","None","None",44,138,"2015","5","","5","","111","4","","2","75","","24","","441","32","82","","100","","17","1","","1","","627","","","252","457","4000","","5","152","","60","","65","","521","218","18","7","17","","","15","","70","","432","142","653","19","40","11","359","","","5","33","3","100","","","7","","1","","","","","185","4","18","","1163","","","","35","","","","","","122","15","9","225","13","61","42","","661","5","","101","214","","7","116","16","4","","","","144","9","25","","","7","361","4","8","27","","1","190","","","212","","135","61","3","318","2","114","3","2","44","1002","210","","","6","","867","2","194","1383","25"
2016-12-18,"117",41,64,"Cloudy","Cloudy","Light","Light","None","None",46,123.5,"2016","4","","4","","141","3","","1","28","","13","","363","97","77","","43","","24","4","","1","4","318","","cw","301","37","6556","","","158","","49","","51","","490","269","11","14","6","1","","13","","154","","61","250","661","21","13","","543","","cw","5","28","1","21","2","","","1","1","","1","","","85","9","25","10","1223","","30","","550","","","","","","381","19","1","145","23","119","60","","471","4","","125","","","27","63","16","6","cw","","","130","19","28","","4","7","467","2","9","15","4","1","4","","","236","18","168","22","","351","11","80","8","3","24","903","307","","","4","","111","","421","955","26"
2017-12-17,"118",25,48,"Clear","Clear","None","Light","None","None",44,121,"2017","2","1","3","","691","7","","","95","","41","","466","119","89","","","","35","6","","32","12","494","","3","196","803","8502","12","4","137","","43","","66","","552","163","56","12","5","","","8","","141","","173","218","603","11","27","32","365","","26","2","51","","","48","","10","","cw","","1","","","222","","29","","916","","","","366","","","","","","344","19","16","188","20","43","73","1","838","37","","127","22","","13","204","13","4","10","","","138","24","37","","1","14","302","5","37","46","8","1","305","","","410","","142","100","","351","5","125","1","2","59","1431","337","1","","7","","3560","","457","1512","26"
2018-12-16,"119",41,50,"Cloudy","Cloudy","Light","Light","None","None",54,109.9,"2018","4","1","7","","428","7","","","18","4","2","","290","29","23","","","","23","2","","21","","271","","94","38","320","6626","2","","159","","59","","39","","421","88","9","8","13","cw","","22","","137","","178","166","339","14","19","6","669","2","6","4","27","","26","","2","13","","8","","","","","82","8","18","25","848","","","","22","","","","","","141","16","3","144","16","69","76","","738","202","3","136","15","","56","84","4","1","","","","68","18","21","","3","7","103","","40","41","3","2","4","","","138","7","92","32","1","228","7","163","2","2","cw","2126","208","","","4","","155","","278","1379","341"
2019-12-15,"120",36,53,"Partly Cloudy","Partly Cloudy","None","None","None","None",30,109.25,"2019","5","","12","","567","2","","","74","9","18","","184","29","9","","","","26","","","","12","224","","6","80","338","4510","1","9","95","","66","","62","","386","369","25","4","29","","","16","","67","","90","334","305","25","256","31","233","2","6","7","32","","2","","1","10","","2","","","","","241","","40","","437","","","2","191","","","","","","222","17","7","143","5","5","54","","872","","","93","40","","138","87","19","7","","","","77","15","46","","2","7","78","3","9","9","4","","110","","","363","","70","54","","149","9","151","1","2","19","1318","269","2","","7","","3829","","257","1027","8"
2020-12-20,"121",30,45,"Cloudy","Cloudy","None","None","None","None",52,153,"2020","8","","6","","261","3","","","81","","3","","301","15","76","","334","","32","5","","18","9","578","9","22","109","49","7715","1","13","159","1","57","","75","","620","273","30","6","29","","","18","4","106","","182","125","379","26","219","69","364","","14","5","42","1","82","67","1","20","3","","","","","3","261","31","27","","1367","","","9","50","","","","","","219","17","3","155","3","65","91","","1288","32","","182","2","","104","166","19","10","4","","","113","25","37","","","19","146","1","33","23","2","","63","4","1","324","17","106","67","17","275","10","128","2","4","32","2439","328","2","1","4","","845","","262","2336","48"
